Date,Day,Time,Department,Reported By,System ID,Description,Problem,Action,Parts,IT Staff,Status,Remarks,Sector
2026-02-19,Thursday,09:20:26,Hr,Dhr,Elitebook Core I7,Elitebook Core I7,Os Crash,Reinstallation And Activation,Nan,Felix,Resolved,Resolved,Software & Applications
2026-02-24,Tuesday,14:36:37,Hr,Dhr,Elite Book Core I7,1040 G7,Os Crash,Re Installation And Activation,Nil,Felix,Resolved,System Working,Unassigned / General
2026-02-24,Tuesday,14:40:32,Admin,Hr Staff,Hp Desktop,Nan,Nan,Desktop Setup,Nan,Bello,Resolved,System Working,Unassigned / General
2026-02-24,Tuesday,14:47:06,Admin,Admin Staff,Hp Desktop,Nan,Nan,File Transfer,Nan,Bello,Resolved,System Working,Unassigned / General
2026-02-24,Tuesday,14:48:28,Legal,Legal Staff,Hp,Nan,Nan,Password Removal,Nan,Bello,Resolved,System Working,Unassigned / General
2026-02-24,Tuesday,14:50:10,Finance And Accounts,Director Finance And Accounts,Ip Phone,Nan,Nan,Reset,Nan,Felix,Resolved,Ip Phones Ok,Unassigned / General
2026-02-24,Tuesday,14:57:48,Finance And Accounts,Director Finance And Accounts,Ip Phones,Nan,Connectivity,Reset,Nan,Felix,Resolved,Ip Phone Ok,Unassigned / General
2026-02-24,Tuesday,15:35:20,Legal,Director Legal,Ip Hones,Nan,Connectivity,Reset,Nan,Felix,Resolved,Ip Phones Okay,Unassigned / General
2026-02-25,Wednesday,09:22:09,Hr,Hr,Hp Desktop,Hp Desktop,Power Cable Malfunction,Power Connected,Nan,Nan,Resolved,Nan,Cybersecurity & Access Control
2026-02-25,Wednesday,09:31:54,Hr,Hr,Hp Desktop,Hp Desktop,Excel Malfunction,Reset Carried Out,Nan,Unique,Resolved,Resolved,Software & Applications
2026-02-25,Wednesday,09:32:58,Hr,Hr,Hp Desktop,Hp Desktop,Application Malfunction,System Restarted,Nan,Unique,Resolved,Resolved,Software & Applications
2026-02-25,Wednesday,12:49:51,Operations,Director Of Operations,Nan,Nan,Document Scan,Scanned Documents,Nil,David,Resolved,Document Scanned,Unassigned / General
2026-02-25,Wednesday,12:52:48,Legal,Legal Staff,Hp,Nan,Email Login Failure,Password Reset,Nil,David,Resolved,Login Failure Fixed,Unassigned / General
2026-02-27,Friday,11:17:25,Commercial,Commercial Staff,Cpu & Desktop,Nan,System Not Used For A While,System Setup,Nan,Bello,Resolved,System Working And Ready For Use,Hardware & Asset Management
2026-02-27,Friday,11:45:05,Legal,Legal Staff,Hp,Nan,Password Reset,Set Pc Password,Nan,Bello,Resolved,System Working,Software & Applications
2026-03-02,Monday,09:28:47,Protocol,Gideon,Hp All-In-One Desktop,Hp All-In-One,Whatsapp Activation,Installation Of New Whatsapp,Nan,Victoria,Resolved,Resolved,Hardware & Asset Management
2026-03-02,Monday,09:30:03,Account,Mr Thomas,Hp Laptop,Mr Thomas Hp Laptop,Wifi Connection Issue,Reactivation Of The Hos Password,Nan,Victoria,Resolved,Resolved,Hardware & Asset Management
2026-03-02,Monday,09:36:52,Pr Unit,Nan,Hp Laptop,Laptop,Nan,Consultation Carried Out Successfully To Teach,Nan,Felix,Resolved,He Should Know How To Screenshot Now,Cybersecurity & Access Control
2026-03-02,Monday,11:14:13,Admin,Admin Staff,Hp Desktop,Nan,System Not Turning On And Monitor Not Responsive,Nan,Nan,"John(Nysc), Neddabiah(It).",Pending,System Awaiting Repairs.,Hardware & Asset Management
2026-03-03,Tuesday,09:41:09,Commercial,"Acting Director, Commercial",Hp All In One,Hp All In One Desktop,New Scanner To Setup And Install Drivers,Setup Carried Out Successfuly And Drivers Installed,New Scanner Setup,Unique And Felix,Resolved,Scanner Properly Working,Hardware & Asset Management
2026-03-03,Tuesday,09:43:55,Commercial,"Acting Director, Commercial",Hp Desktop,Hp Desktop,"System Swapped With The One In Director Of Commercial'S Office, New Setup In The Commercial Office",Setup Carried Out Successfully,Nan,Unique And Martin,Resolved,System Functional,Hardware & Asset Management
2026-03-03,Tuesday,09:46:11,Commercial,Commercial,Hp Desktop,Hp Desktop,Hp Desktop Needed Drivers To Function With The Laserjet Printer,Driver Successfully Installed,,Unique,Resolved,System Can Print Now,Software & Applications
2026-03-04,Wednesday,09:34:10,Hr,Hr,Hp Desktop,Hp Desktop,Damaged Power Pack,New Power Pack Bought And Replaced,Power Pack,Felix And Unique,Resolved,System Functional,Cybersecurity & Access Control
2026-05-06,Wednesday,14:24:06,Servicom,,,,,,,,Resolved,,Software & Applications
2026-05-20,Wednesday,14:26:52,Servicom ,Mrs bulky ,Hp,,creating goggle form ,Solved problem creating goggle form,Nil,Victoria ,Resolved,,Software & Applications
2026-05-26,Tuesday,13:49:39,Dg Office,Mrs Chidinma,Hp Scanner,Hp Deskjet 2050A,Scanner Setup And Installation,Setup Successful And Driver Installed,,Madu,Resolved,Scanner Successfully Connected,Cybersecurity & Access Control
2026-06-15,Monday,13:42:01,Ict,Ict,,,,Updating Of The Four (4) Tics Under Zone B,,"Felix, Sunday, Okon",Resolved,The Zone Is Up To Date,Cybersecurity & Access Control
2026-06-30,Tuesday,13:17:22,Dg'S Office,Dg'S Office,Projector,,,Setting Up Projector For Presentation,,Victoria Ndukwu,Resolved,,Hardware & Asset Management
2026-06-30,Tuesday,14:18:41,Human Resource,,Laptop,Hp,System Slow,Need To Delete Or Safe Files In A Hard Disk To Create Space In The System Hard Disk,Nil,Victoria,Pending,,Software & Applications
2026-06-30,Tuesday,14:21:13,Servicom,,,,,,,,Resolved,,Hardware & Asset Management
2026-06-30,Tuesday,14:23:09,,,Projector,Projector,,Presentation Using Projector Device,Nil,Victoria,Resolved,,Cybersecurity & Access Control
